state,state_full,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year,latitude,longitude,state_yr,temp_min,temp_max,temp_min C,temp_max C
OK,Oklahoma,7000,35,245000,64000,1.26,309000,2000,35.482309,-97.534994,OK_2000,31.42,86.44,-0.325,30.245
OR,Oregon,48000,51,2448000,1665000,0.66,1616000,2000,44.931109,-123.029159,OR_2000,32.42,65.08,0.236,18.377
PA,Pennsylvania,25000,45,1125000,630000,0.76,855000,2000,40.269789,-76.875613,PA_2000,23.26,68.71,-4.856,20.392
RI,Rhode Island,0,0,0,0,0,0,2000,0,0,RI_2000,0,0,0,0
SC,South Carolina,0,0,0,0,0,0,2000,34,-81.035,SC_2000,39.77,80.74,4.315,27.076
SD,South Dakota,235000,121,28435000,12796000,0.58,16492000,2000,44.367966,-100.336378,SD_2000,11.18,74.14,-11.564,23.409
TN,Tennessee,9000,61,549000,104000,1.43,785000,2000,36.165,-86.784,TN_2000,30.72,77.9,-0.709,25.498
TX,Texas,105000,79,8295000,2986000,0.57,4728000,2000,30.266667,-97.75,TX_2000,42.17,84.73,5.651,29.292
UT,Utah,24000,41,984000,462000,0.6,590000,2000,40.7547,-111.892622,UT_2000,29.34,73.37,-1.476,22.981
VT,Vermont,7000,59,413000,211000,0.68,281000,2000,44.26639,-72.57194,VT_2000,15.98,64.29,-8.898,17.938
VA,Virginia,7000,42,294000,103000,1.5,441000,2000,37.54,-77.46,VA_2000,30.68,73.75,-0.732,23.195
WA,Washington,52000,54,2808000,1151000,0.58,1629000,2000,47.042418,-122.893077,WA_2000,29.29,63.61,-1.504,17.559
WV,West Virginia,7000,54,378000,234000,1.22,461000,2000,38.349497,-81.633294,WV_2000,26.07,71.14,-3.296,21.747
WI,Wisconsin,84000,90,7560000,4385000,0.68,5141000,2000,43.074722,-89.384444,WI_2000,9.78,68.34,-12.343,20.191
WY,Wyoming,39000,93,3627000,798000,0.59,2140000,2000,41.145548,-104.802042,WY_2000,19.47,68.43,-6.959,20.241
PR,Puerto Rico,0,0,0,0,0,0,2000,0,0,PR_2000,0,0,0,0
AL,Alabama,14000,73,1022000,235000,0.72,736000,2001,32.361538,-86.279118,AL_2001,41.64,80.72,5.358,27.066
AK,Alaska,0,0,0,0,0,0,2001,0,0,AK_2001,0,0,0,0
AZ,Arizona,43000,59,2537000,1142000,0.72,1827000,2001,33.448457,-112.073844,AZ_2001,39.58,80.32,4.21,26.844
AR,Arkansas,50000,98,4900000,1617000,0.65,3185000,2001,34.736009,-92.331122,AR_2001,37.19,82.61,2.883,28.114
CA,California,460000,61,28060000,7857000,0.69,19361000,2001,38.555605,-121.468926,CA_2001,42.38,75.96,5.767,24.423
CO,Colorado,26000,55,1430000,529000,0.71,1015000,2001,39.7391667,-104.984167,CO_2001,24.12,70.35,-4.38,21.305
CT,Connecticut,0,0,0,0,0,0,2001,0,0,CT_2001,0,0,0,0
DE,Delaware,0,0,0,0,0,0,2001,0,0,DE_2001,0,0,0,0
DC,District of Columbia,0,0,0,0,0,0,2001,0,0,DC_2001,0,0,0,0
FL,Florida,220000,100,2.20E+07,3432000,0.64,14080000,2001,30.4518,-84.27277,FL_2001,54.38,82.12,12.435,27.844
GA,Georgia,55000,57,3135000,188000,0.7,2195000,2001,-84.27277,-84.39,GA_2001,44.04,80.23,6.688,26.792
